Dataset,Generative Model,Predicative Model,Synthetic Data Ratio,MAE,MSE,RMSE,R2
California Housing,-,tabnet,0.0,0.408754005953877,0.3659376131158086,0.6049277751234511,0.7298509500474937
California Housing,-,catboost,0.0,0.3016333335134251,0.2137655926830204,0.4623479130298096,0.8421901168063143
California Housing,-,xgboost,0.0,0.2752687112307565,0.1854447153860353,0.4306329241779306,0.8630976645649809
California Housing,-,lightgbm,0.0,0.2751370731311163,0.1929300658993833,0.4392380515157849,0.8575716943873253
California Housing,copulagan,tabnet,0.25,0.416784051423044,0.3775338791814225,0.614437856240501,0.7212901458329495
California Housing,copulagan,catboost,0.25,0.3140717824893245,0.2255646653278005,0.4749364855723347,0.8334795930382184
California Housing,copulagan,xgboost,0.25,0.2914987960199017,0.2013791511893405,0.4487528843242576,0.8513342585775373
California Housing,copulagan,lightgbm,0.25,0.2851974523013373,0.199348804642609,0.4464849433548784,0.8528331375475384
California Housing,tvae,tabnet,0.25,0.41748962107955,0.3816949744773855,0.6178146764826695,0.7182182671829389
California Housing,tvae,catboost,0.25,0.3223424119242609,0.2383560069887211,0.4882171719519103,0.8240365385781226
California Housing,tvae,xgboost,0.25,0.2932554001554654,0.2056043336319932,0.4534361406328274,0.8482150683496892
California Housing,tvae,lightgbm,0.25,0.2918752426534256,0.2096897927243208,0.457918980524198,0.8451990272082656
California Housing,ctgan,tabnet,0.25,0.4187249224472276,0.3759489770763081,0.6131467826518444,0.7224601807859535
California Housing,ctgan,catboost,0.25,0.317981741438088,0.2305606380366579,0.4801673021319319,0.8297913761473331
California Housing,ctgan,xgboost,0.25,0.2921189679183976,0.2048207702869963,0.4525712875194319,0.8487935245848429
California Housing,ctgan,lightgbm,0.25,0.288231536745559,0.2034853079167257,0.4510934580735191,0.8497794136515389
California Housing,gan,tabnet,0.25,0.4066338443311725,0.3743624727238065,0.6118516754278005,0.7236313985788569
California Housing,gan,catboost,0.25,0.322549270890364,0.2397410352935109,0.4896335724738561,0.8230140580551559
California Housing,gan,xgboost,0.25,0.2891423056664212,0.19928366009173,0.4464119847088898,0.852881229730363
California Housing,gan,lightgbm,0.25,0.2835015715025151,0.1981849057809639,0.4451796331605523,0.8536923719130887
California Housing,vae,tabnet,0.25,0.398987872603108,0.355158075689387,0.5959514037984868,0.737808814148645
California Housing,vae,catboost,0.25,0.3313105294362097,0.2491588255564388,0.499158116789098,0.8160614874254236
California Housing,vae,xgboost,0.25,0.2906517361909815,0.2011683355092465,0.4485179322047743,0.8514898907231668
California Housing,vae,lightgbm,0.25,0.2869465922763258,0.203705446476672,0.4513373976047986,0.849616899001751
California Housing,ddpm,tabnet,0.25,0.4004568488332485,0.3571769957556561,0.5976428663973629,0.7363183706460252
California Housing,ddpm,catboost,0.25,0.3109134338473323,0.2239395505467025,0.4732225169481082,0.8346793145208131
California Housing,ddpm,xgboost,0.25,0.286503231670856,0.1981463327990092,0.4451363081113573,0.8537208479540657
California Housing,ddpm,lightgbm,0.25,0.2823768367526227,0.198831649602705,0.445905426747315,0.8532149210488771
Custo Seguro,-,tabnet,0.0,1469.33821010997,9716464.600637954,3117.124412120561,0.6358317841020006
Custo Seguro,-,catboost,0.0,1271.351830978908,4555099.403097876,2134.267884567885,0.8292771583860834
Custo Seguro,-,xgboost,0.0,1441.5190212474354,4894338.713672897,2212.315238313224,0.8165626391268274
Custo Seguro,-,lightgbm,0.0,1517.6593585744165,5929251.69338878,2435.005481182492,0.7777746195722902
Custo Seguro,gan,tabnet,0.25,1560.8347254119622,16791145.464300368,4097.700021268073,0.3706762965804897
Custo Seguro,gan,catboost,0.25,1321.813803994756,4956548.86492547,2226.330807612712,0.8142310338512437
Custo Seguro,gan,xgboost,0.25,1460.7836749590674,4963592.579080622,2227.9121569488825,0.8139670389765621
Custo Seguro,gan,lightgbm,0.25,1456.3805507601485,5974187.517007777,2444.2151126706863,0.7760904474347339
Custo Seguro,ctgan,tabnet,0.25,1298.8491841674042,4358958.289722532,2087.8118425094085,0.8366284313496263
Custo Seguro,ctgan,catboost,0.25,1308.8153472963525,4600761.298047113,2144.9385301325333,0.8275657734591357
Custo Seguro,ctgan,xgboost,0.25,1399.407668461612,4954191.045252533,2225.8012142265834,0.8143194037503294
Custo Seguro,ctgan,lightgbm,0.25,1428.7561191368984,4659273.67298755,2158.535075690814,0.825372758985595
Custo Seguro,copulagan,tabnet,0.25,1566.2615231407003,13916851.118612455,3730.529602966911,0.4784034058591206
Custo Seguro,copulagan,catboost,0.25,1330.2148433729376,4507775.302900765,2123.152209075168,0.8310508419322598
Custo Seguro,copulagan,xgboost,0.25,1461.9429685676205,4778103.686609497,2185.8873911090427,0.8209190696586921
Custo Seguro,copulagan,lightgbm,0.25,1440.4200701003274,4874159.280339063,2207.749822860159,0.8173189541698247
Custo Seguro,vae,tabnet,0.25,1299.9464143660941,4905656.978642391,2214.871774763133,0.8161384389130102
Custo Seguro,vae,catboost,0.25,1309.1798452178784,4791498.053897163,2188.949075217869,0.820417055488943
Custo Seguro,vae,xgboost,0.25,1431.8353787891774,4849826.142443683,2202.2320818759504,0.8182309479770415
